Status,Power_range_sensor_1,Power_range_sensor_2,Power_range_sensor_3 ,Power_range_sensor_4,Pressure _sensor_1,Pressure _sensor_2,Pressure _sensor_3,Pressure _sensor_4,Vibration_sensor_1,Vibration_sensor_2,Vibration_sensor_3,Vibration_sensor_4
Normal,4.0668,9.6075,12.9474,12.0831,17.1932,0.897,6.5127,9.1021,14.8536,8.6038,53.2384,14.1151
Normal,3.8818,9.1022,11.6245,12.3523,16.5287,1.3213,5.7359,9.1102,2.4925,17.0969,42.816,14.909
Normal,4.4724,8.8477,11.922,12.5244,17.0147,2.5154,5.3649,8.8686,1.6525,3.4988,48.1334,13.515
Normal,4.5035,9.5517,13.526,11.7929,16.6527,3.2356,6.8318,7.8375,8.1792,7.8561,47.7364,6.6929
Normal,3.7244,10.1633,13.7494,10.892,14.7484,3.0922,8.1276,7.7045,0.6924,12.7211,29.661,0.6831
Normal,3.4991,9.5517,12.8,10.7144,12.3135,2.5489,6.2168,8.0444,14.8813,2.4833,31.6181,0.2493
Normal,3.6942,8.6334,12.3734,10.9103,9.9976,2.8899,4.2447,7.7912,4.5696,8.0315,29.9841,12.795
Normal,3.6081,8.6783,12.4338,10.6924,6.7493,3.1396,5.1949,7.2953,5.5482,3.4526,37.6002,12.0195
Normal,3.6154,8.8797,12.4585,10.3656,4.9244,2.0137,5.9359,7.3855,19.017,6.379,49.7397,13.9951
Normal,3.7646,8.2068,12.1307,10.4251,5.827,1.2022,4.4516,7.6017,22.2665,2.5941,42.816,13.3396
Normal,3.717,7.2968,11.4157,10.6302,4.8153,1.0068,3.0529,7.1832,3.2126,7.496,41.0343,1.0801
Normal,3.9001,7.0248,10.9726,10.8966,1.0315,0.8034,2.7304,6.5994,8.0407,1.0616,43.4622,4.745
Normal,4.5612,7.0715,11.1823,11.1273,1.0166,1.1583,2.9096,6.3497,10.1547,6.8129,37.4525,18.2693
Normal,4.6252,7.0935,11.4652,11.0916,2.1126,1.2045,3.5095,5.8712,1.5971,4.0342,20.7895,13.4596
Normal,4.1043,6.9214,11.1511,10.9772,4.2301,0.3584,3.2113,4.9926,9.6839,4.9389,31.6643,11.2256
Normal,4.6051,6.4316,10.5515,11.4706,4.4037,0.9641,2.2403,4.8042,3.6926,10.6348,37.4248,5.1881
Normal,5.4932,6.1441,10.0928,12.2699,1.2993,3.0229,2.0472,5.2284,6.8037,23.4851,36.6032,3.7665
Normal,5.0098,6.373,9.8666,12.0731,2.3407,3.113,1.9663,4.4678,7.7914,10.9209,36.797,3.3788
Normal,3.891,6.568,10.2319,11.1722,3.6003,1.7363,1.7282,3.7141,3.1664,4.1819,43.9884,7.1822
Normal,3.7125,6.5323,10.6311,11.2857,3.2482,2.0565,2.1039,4.8655,2.6864,13.1181,45.1885,15.7952
Normal,4.2297,6.6028,10.145,12.4933,4.2549,3.1142,2.8818,5.9174,5.1604,2.9633,41.6898,26.8085
Normal,4.6646,6.8344,9.6606,13.6707,8.4206,3.3592,4.1603,5.996,4.4404,6.1759,49.075,17.8446
Normal,5.1169,6.9891,9.8959,14.5056,15.4179,3.728,5.7325,6.8769,7.1545,11.161,44.3207,12.158
Normal,5.3458,7.0615,10.1111,14.8636,22.435,3.2043,5.6446,7.8005,7.5237,6.3698,44.3484,31.5258
Normal,4.9036,7.0303,9.8538,14.6411,26.2386,1.9594,4.9291,7.8849,9.2131,1.3201,41.6251,19.7648
Normal,4.8962,6.7758,9.917,14.3729,26.4816,1.9524,4.9233,8.0733,8.3453,9.3977,44.1546,0.3785
Normal,6.1478,6.4307,10.8417,14.7308,25.3113,3.3673,4.2124,8.3357,14.3736,4.4958,52.0937,10.9948
Normal,7.3462,6.4444,11.3214,15.347,25.108,5.1325,3.9696,9.0524,5.3082,0.2954,36.797,15.3521
Normal,7.4112,6.6348,10.9149,15.3223,27.776,6.1694,5.2238,9.8754,0.1108,9.1577,42.0682,19.0447
Normal,7.2702,6.5652,11.1447,14.9387,32.2888,6.3971,4.8111,9.6188,2.5848,4.4681,49.0288,17.0415
Normal,7.9193,6.3904,11.5338,15.2078,34.6146,7.2734,3.5269,10.3864,4.5604,5.7143,26.9192,6.6006
Normal,8.8998,6.2109,11.2912,15.6528,33.1665,8.6894,4.1788,11.8706,5.5574,4.8466,14.3828,12.1672
Normal,9.7275,6.2082,11.8936,15.5667,29.3827,9.116,5.0366,11.8256,9.7116,3.8126,24.436,15.4813
Normal,9.8337,6.6302,12.3798,15.4358,24.6567,8.6351,6.6191,11.9909,9.7116,6.1021,17.3092,1.6894
Normal,9.0976,6.9086,11.1502,15.4413,21.592,7.3878,8.2317,12.7295,3.0556,6.5636,15.3336,12.6934
Normal,8.9108,6.438,10.5368,15.3268,23.0053,6.1162,6.7405,12.4278,1.5786,4.0804,25.8115,24.3344
Normal,9.9463,5.9244,11.4047,15.4019,25.3708,6.0908,4.7892,12.2128,2.6218,8.2899,23.9836,8.3084
Normal,10.8801,6.0489,11.8204,15.5713,23.9079,7.2005,6.0238,13.1064,1.1355,2.9079,14.1705,8.4469
Normal,10.5707,6.4911,11.4185,15.2325,18.5024,6.6965,6.4122,12.7758,0.8862,7.4591,22.765,6.7575
Normal,9.6341,6.5707,11.1539,14.5029,11.4357,5.4446,5.6296,11.8001,1.0432,6.896,15.3613,1.6894
Normal,9.6259,6.2347,11.7316,13.9279,4.969,5.9752,5.5729,11.2487,6.3236,19.414,21.8419,0.6924
Normal,10.6375,6.1862,12.8357,13.8135,1.6762,7.0722,4.8042,10.1055,4.5881,2.0771,23.4943,9.0746
Normal,10.9753,6.676,12.5491,13.8657,2.2961,7.4687,5.6816,10.0084,1.4032,9.7393,12.9057,1.8002
Normal,10.1486,7.077,11.1081,13.4326,4.1061,7.1566,7.8375,10.1379,12.5549,8.9085,12.915,3.1572
Normal,9.7494,6.8225,11.0468,12.757,3.1689,6.6017,6.4827,8.7819,12.7303,1.3109,18.14,9.2408
Normal,10.8115,6.221,12.1271,12.7332,0.6248,7.6514,5.4585,8.7738,6.5821,0.9047,18.5647,3.2403
Normal,11.7838,6.2009,11.8643,13.1863,3.516,8.6397,7.3011,9.9286,11.2533,1.3847,35.4954,10.127
Normal,10.8966,6.7355,10.253,13.0692,4.8103,6.3104,8.1947,9.0478,6.9698,0.6924,36.5755,8.4007
Normal,9.6771,6.7355,9.689,12.2205,6.4816,3.4055,8.034,7.8409,1.4401,2.3448,30.3811,3.3695
Normal,10.4205,5.8905,10.8325,11.8185,8.8966,3.5292,7.8444,8.1415,6.0282,5.4005,40.5635,8.7331
Normal,12.0181,5.2075,11.4771,12.3001,12.3581,4.5545,6.2919,7.3439,0.6739,15.4259,42.5021,3.7665
Normal,12.1298,5.387,10.4727,12.4265,15.3633,4.3661,5.9625,6.3289,3.0464,2.5018,33.0952,3.9511
Normal,10.7932,5.9152,9.6185,11.4523,16.013,3.1882,6.6931,5.7983,5.3266,12.7211,35.4031,6.6929
Normal,9.8813,5.7486,9.7256,10.4004,14.5897,1.7813,5.6827,4.3222,8.2807,17.383,38.9018,1.8371
Normal,10.3867,5.0601,9.3338,10.4095,12.3234,2.4356,4.4713,3.5454,5.862,16.5799,42.6683,1.1632
Normal,10.8975,4.9796,8.2169,11.0138,12.859,4.5175,4.5106,4.0736,4.6804,18.0385,26.9746,3.388
Normal,10.6339,5.4739,7.8552,11.0422,19.3455,4.966,5.2631,3.9708,4.2188,10.7179,22.1004,1.4863
Normal,10.5954,5.6296,8.2443,10.5286,26.7742,4.0956,5.6862,3.3211,1.2463,19.6725,39.6588,9.2685
Normal,10.2914,5.517,7.9266,10.0562,27.9793,3.7789,5.7983,3.1442,1.1724,19.7463,43.2407,2.871
Normal,9.2587,5.5536,6.8472,9.8483,23.9922,3.5893,6.6399,3.1431,1.8925,13.9951,36.9817,3.3418
Normal,8.7506,5.6845,6.6962,9.6735,20.2183,2.4264,6.8734,2.1686,8.7423,27.5932,38.1725,10.3947
Normal,8.6838,5.874,7.9102,9.2404,20.3373,1.6403,6.878,1.2542,1.3386,28.2394,49.0565,9.8408
Normal,8.2654,6.0773,8.4521,8.6856,24.6021,1.2877,7.9739,1.6958,4.6066,18.9247,51.7152,4.3019
Normal,7.8717,6.0434,7.533,8.5254,29.3629,0.2428,6.5636,1.2369,9.1762,24.7129,51.3737,2.151
Normal,7.9138,5.8026,7.3709,8.4329,30.0472,0.178,4.6135,0.089,4.265,1.2832,39.5757,5.9267
Normal,8.2846,5.6039,8.8513,7.7325,25.1873,0.4034,6.285,0.2266,6.0836,2.1325,46.5732,1.5232
Normal,8.3679,5.5783,9.6075,6.9598,18.7107,0.2763,7.1404,0.8046,4.0342,12.1026,52.0937,10.8748
Normal,7.3791,5.5453,8.2068,6.9031,17.0345,0.3399,5.6018,1.208,8.8992,9.9609,33.529,7.8745
Normal,6.4471,5.1791,6.7392,7.0468,20.1389,0.0104,5.4804,0.4196,2.7048,4.5419,25.5068,2.8987
Normal,6.9196,4.6994,7.3791,7.1448,24.1161,1.1178,5.0053,0.4277,10.3578,4.9574,35.7077,1.1539
Normal,7.3764,4.7589,8.4943,7.4277,26.2882,2.416,4.3106,0.5456,5.9174,0.9416,32.6982,7.8838
Normal,6.6367,5.2432,8.0045,7.5339,23.7839,2.6691,5.8261,0.6208,1.0801,8.5854,34.9876,1.8555
Normal,5.8456,5.2451,7.3224,7.261,18.7355,1.868,6.1856,1.4334,4.3296,5.1881,37.1201,4.902
Normal,5.9775,4.7983,7.6785,7.327,20.3919,1.4415,4.3742,1.2508,6.3144,5.9821,50.4782,26.1807
Normal,6.4041,4.6765,7.8781,7.8854,27.7462,1.4161,4.6678,1.2762,3.1203,17.1061,37.3048,19.5155
Normal,6.0754,4.9951,7.3901,8.2013,30.9349,0.4219,5.677,0.9814,12.0749,4.8189,28.3317,7.616
Normal,4.5456,5.2075,6.9196,7.695,27.4735,1.8958,4.9626,0.3179,6.3236,1.0432,32.0151,1.5601
Normal,3.3032,4.8587,7.4423,6.5735,21.2051,4.0875,3.6378,0.1572,2.4002,9.6839,33.6029,10.5886
Normal,3.7262,4.509,8.6517,6.0837,16.8511,3.0298,3.5881,0.1272,9.3331,2.5294,27.1039,5.3266
Normal,4.2325,4.6609,8.2672,6.6348,18.3388,1.2808,4.3476,0.0694,8.53,0.8308,34.5814,16.3214
Normal,3.186,4.9622,6.5826,6.8665,22.0234,1.8403,5.0481,0.1815,0.3231,2.991,26.79,12.1949
Normal,2.0004,4.7873,6.5945,6.0452,21.4581,2.6183,4.573,0.4508,19.5894,8.2069,11.6872,1.7632
Normal,2.4335,4.2068,8.2004,5.2213,15.7204,1.4149,3.5546,1.3617,11.918,7.0898,18.7862,6.1482
Normal,3.3636,3.8571,8.9044,5.0464,8.1429,0.1526,2.7766,1.7675,5.0774,4.6804,33.1321,11.3641
Normal,2.6569,4.1125,8.0786,4.92,3.6449,0.2601,3.0263,1.7952,6.499,8.53,18.7493,2.751
Normal,1.2405,4.151,7.6566,4.0979,4.0566,1.1733,2.7096,2.6044,8.5392,24.0205,8.4469,13.1088
Normal,1.4987,3.6026,8.6188,3.4863,5.6385,1.2369,1.0716,3.1535,6.7575,2.5294,1.9294,10.6994
Normal,2.5516,3.2794,8.8449,4.0018,4.4582,0.0451,0.9733,1.9293,14.7151,13.8381,20.5679,23.5497
Normal,2.5735,3.5349,8.0896,4.4824,0.8381,0.6312,1.7316,1.4126,13.6166,16.9953,13.7181,16.5799
Normal,1.9391,3.9413,8.5538,3.9935,3.4615,0.141,2.0576,1.6438,12.6657,11.0317,8.0776,12.8042
Normal,1.2341,4.1547,9.0775,3.6145,4.7558,1.3155,2.1813,0.9791,16.6537,11.5856,19.3401,22.5343
Normal,0.7764,4.0475,8.2434,3.9166,1.9093,1.7617,1.801,0.3456,4.2096,3.0095,0.0646,1.9109
Normal,0.6665,4.0897,7.8204,4.4778,0.972,1.4057,2.1547,0.059,2,0.1939,11.161,7.4406
Normal,0.2811,4.52,8.0466,4.6866,3.0697,1.8033,4.1257,0.0358,2.3356,2.871,15.0382,11.0502
Normal,0.1382,4.9429,8.4924,4.3973,6.0204,2.6148,5.603,0.163,9.2962,9.13,11.0687,6.1667
Normal,0.4724,4.9612,8.8531,4.2197,8.9661,2.7836,4.6736,0.2104,7.3022,5.5482,13.5335,11.8256
Normal,1.5271,5.0052,7.9797,4.5264,11.9415,2.8044,3.4691,0.2959,8.7515,8.89,6.259,13.0904
Normal,2.2806,5.2313,6.9498,5.1663,16.9899,2.6714,3.3142,0.3722,2.271,1.6894,10.1178,3.988
Normal,1.7514,5.3421,7.3499,5.9564,22.7177,1.8565,2.305,0.3988,9.7393,1.1355,3.2957,2.9726
Normal,1.3065,5.3293,7.8186,6.438,27.3048,0.8543,1.5837,0.4913,18.4631,19.0447,10.0624,6.619
Normal,1.3696,5.4886,7.8543,6.2759,32.3483,0.4127,3.0529,0.6092,5.262,14.1797,2.511,1.4771
Normal,1.5308,5.6497,7.7975,6.1258,37.2727,0.8254,3.4286,1.1063,12.6288,4.8835,8.2069,17.0969
Normal,1.7093,5.2341,7.0276,6.5497,40.4762,1.6727,1.9686,0.7791,4.6712,8.9454,3.7665,3.8496
Normal,0.856,4.6408,6.5524,7.3032,42.6136,0.5179,2.1929,0.6635,5.6036,5.5112,4.3296,7.2652
Normal,0.0861,4.8303,6.796,7.9834,44.3989,0.8439,3.5292,1.482,18.7308,4.7358,3.8496,3.2587
Normal,0.9549,5.4639,6.8051,7.868,45.5891,0.4231,4.6366,1.3051,7.6622,3.7757,3.0741,3.2495
Normal,2.2678,5.4868,7.2198,7.0569,45.4453,1.9201,4.9672,0.9988,2.1048,2.271,4.4127,9.1116
Normal,1.6287,5.0088,7.7801,7.0798,42.1574,0.8832,4.1014,1.9883,13.3304,9.5454,4.3573,3.7757
Normal,0.2325,4.9466,6.8033,8.4824,36.7767,0.9687,3.7372,3.5454,13.275,8.6684,12.7857,2.0033
Normal,0.3983,5.5316,5.8777,9.5691,31.7135,1.9825,4.7834,4.6586,15.3429,3.9234,4.0711,2.4094
Normal,0.1117,6.2585,6.7776,9.1891,26.4618,1.9871,5.3313,4.9186,25.0175,5.6774,1.2463,19.6632
Normal,0.7828,6.2814,7.7133,8.2745,20.9473,1.23,3.5234,4.1199,22.9681,5.3635,9.0746,4.1357
Normal,0.1447,5.5261,7.8131,8.1033,15.7402,2.2588,1.4392,3.7742,14.8167,3.8126,11.7702,0.9509
Normal,1.6635,5.2606,8.1491,8.4613,8.6437,5.0273,2.364,4.2574,4.6342,2.271,5.8713,6.3421
Normal,1.3889,5.8511,8.6279,8.2718,0.4215,5.0342,4.4412,3.8794,1.9017,8.0222,7.8838,15.3429
Normal,0.2985,5.9555,8.5675,7.4542,10.5133,2.5512,4.3904,2.8437,1.3293,20.2079,21.805,1.7263
Normal,0.2719,5.1517,7.9999,7.3727,21.3341,1.5987,2.809,3.5731,11.4287,18.3247,20.2171,6.7944
Normal,1.4502,4.3204,7.7417,8.1427,29.839,2.7905,1.9663,5.003,14.7059,21.288,17.2353,11.8349
Normal,2.72,4.5209,8.9108,8.5922,35.0311,4.195,2.8737,5.5336,12.0657,18.0293,5.6682,7.8745
Normal,1.8311,5.6058,9.3347,8.2974,39.6431,2.9789,4.3314,5.5591,4.1357,2.8987,5.8897,4.2281
Normal,0.0851,5.8301,7.6089,7.9788,44.7163,0.2104,4.6562,6.1902,19.3771,20.0879,25.276,2.5294
Normal,1.1609,4.8175,7.034,8.6673,49.5861,0.9051,2.7188,7.6837,18.4724,26.1161,21.2049,2.5941
Normal,3.8406,4.6509,8.3322,10.1816,54.2675,4.8955,1.9467,8.8328,11.0687,13.275,7.4868,7.2929
Normal,4.6069,5.7916,8.5062,10.7455,56.8562,6.3601,4.8516,9.2686,14.4751,18.7124,15.029,12.001
Normal,3.5184,6.5341,7.5513,10.0314,55.8643,4.462,6.144,8.9472,10.1732,17.2076,14.1612,2.0309
Normal,2.6047,6.2027,6.763,9.6048,52.6508,3.7003,4.2852,8.6362,13.672,0.6554,5.8251,3.4711
Normal,3.3783,5.5801,6.9351,10.0644,49.5266,5.1001,3.3581,8.7495,14.2351,2.4741,18.5924,13.4042
Normal,5.2249,5.6552,8.3194,10.9671,48.1629,7.0364,3.9997,7.9797,5.8713,9.3239,3.0095,12.6472
Normal,5.6955,6.4407,8.725,11.5109,48.4009,7.6837,5.803,7.2919,11.0779,6.5267,1.9386,1.1632
Normal,4.7397,6.8573,7.5146,11.2079,49.606,6.2145,7.0214,7.3751,18.4539,4.0804,13.672,2.114
Normal,4.5355,6.5552,7.4194,10.7144,49.1448,4.8597,5.8758,6.5243,10.9394,4.3019,20.5218,2.4833
Normal,5.6351,6.5057,8.1931,11.0843,44.4534,5.7891,6.0087,6.0261,13.2935,9.5731,17.0692,2.8156
Normal,6.589,6.9855,7.7655,12.0319,39.4993,6.7208,8.3207,6.7647,11.0963,2.4925,6.6375,7.1914
Normal,6.5195,7.4789,7.131,12.6114,38.3041,5.7602,9.7818,7.5508,11.2533,6.2498,1.2555,0.4893
Normal,6.3107,7.4789,7.392,12.6828,39.3505,4.8539,9.1033,8.2825,21.2603,0.5816,5.0497,9.8501
Normal,6.4069,7.1548,7.5201,12.6416,40.7787,5.0007,7.2121,8.4143,18.4447,11.5764,17.4477,5.4928
Normal,6.0937,7.0624,7.164,12.7588,40.8283,5.0655,6.937,8.4143,6.656,9.25,18.2693,12.6011
Normal,5.7367,7.1567,6.8536,13.1076,38.0612,4.758,6.4353,8.8767,22.0357,1.2832,3.231,6.3144
Normal,6.2457,7.1374,6.8143,13.7704,35.5866,5.4966,4.9256,9.9101,25.6361,5.1143,0.4985,9.6101
Normal,6.8655,7.0624,6.8463,14.4012,35.8891,7.397,5.4562,11.2383,1.3017,3.8957,10.4594,3.6557
Normal,6.9662,7.251,6.8912,14.4022,35.8643,7.671,5.9209,10.2199,11.9364,0.2308,6.3329,2.151
Normal,6.7163,7.5989,7.2354,13.8776,33.6079,6.8387,5.9764,8.6559,18.5739,15.6475,0.6185,3.4249
Normal,6.2027,7.6639,7.0486,13.4189,29.5364,6.1336,7.1589,8.7969,5.3174,13.3027,7.3668,1.5694
Normal,6.4233,7.2894,6.1569,13.1873,23.4169,4.8123,5.5463,7.7635,10.247,2.5756,6.0005,5.0774
Normal,7.6932,7.1558,6.5067,13.0865,16.1469,4.9741,4.9198,6.8618,15.9983,17.5954,6.6467,7.4591
Normal,8.5574,7.6282,7.7655,13.0966,9.6901,6.0607,7.8687,7.3358,11.9456,17.5584,16.2014,4.7912
Normal,8.3359,7.8653,7.4496,13.1122,5.2418,4.0112,7.2468,6.7185,18.3062,6.4806,14.7336,3.4618
Normal,7.7151,7.6117,6.058,13.1122,1.3737,2.3073,5.344,6.9913,16.8199,17.7431,12.2041,4.9943
Normal,7.478,7.4844,5.8868,12.9163,4.5029,3.1546,5.6723,7.8779,10.5978,8.1145,8.4377,14.1889
Normal,8.009,7.6712,7.0953,12.5024,11.9564,3.4783,4.8932,7.3404,10.4317,2.9356,15.269,14.6228
Normal,8.4622,7.9486,7.8268,12.2626,18.0462,4.2528,5.3001,8.0109,22.1004,4.8373,15.5183,1.2463
Normal,8.3862,8.0008,7.2729,12.1912,22.4053,5.262,6.3336,8.4709,28.3224,3.7019,19.7279,13.0811
Normal,8.3707,7.7563,6.8665,11.965,24.2649,5.2828,5.3279,7.9658,14.1058,11.1333,9.7393,6.5083
Normal,8.1088,7.6675,7.3645,11.5714,25.1576,5.9336,5.3059,8.027,19.174,9.5639,5.2251,8.0592
Normal,7.7856,7.7353,7.8854,11.1136,29.7199,6.4122,5.4342,6.9404,21.288,9.6378,3.8588,3.7572
Normal,8.3899,7.5027,8.0237,10.8481,35.8742,6.4133,5.3163,6.0457,2.0586,14.6967,1.5232,18.2416
Normal,9.1287,7.2391,7.8882,10.9753,37.833,7.0456,6.1555,6.8942,13.6812,19.8479,6.7667,2.7418
Normal,9.061,7.0825,7.7591,10.8344,35.6907,6.4538,5.3175,5.7937,29.3379,7.4868,0.5262,5.1604
Normal,8.8019,6.8005,8.0521,10.2786,31.9267,4.9626,4.1915,4.4886,7.4222,11.3825,3.7019,10.5886
Normal,8.6984,6.4563,7.8809,10.1862,30.5729,4.4285,4.6955,5.0574,10.1824,13.8289,6.7113,6.9975
Normal,8.5007,6.0535,7.0166,10.4526,33.3202,3.5165,3.3858,4.9406,17.6692,11.6595,0.6185,14.0412
Normal,8.4036,5.8218,6.861,10.5231,36.9305,2.8714,2.7477,4.2193,6.4159,8.7608,7.7453,3.4064
Normal,8.3862,5.9866,7.1512,10.4947,38.319,3.1292,3.7049,4.0621,2.7141,19.7556,25.2483,0.8585
Normal,8.5702,5.9692,7.4963,10.2777,36.6676,3.2541,3.8586,4.0921,0.9785,7.3299,4.6435,3.4434
Normal,8.8797,5.5289,8.5428,9.9939,32.2987,3.9881,3.3928,3.9939,2.5202,5.6497,12.9796,4.5235
Normal,8.8678,5.1993,8.8193,9.9628,29.1596,5.4192,2.6136,3.1535,6.0928,11.8718,0.0831,2.7695
Normal,8.8705,5.0977,7.8113,10.0928,28.862,6.374,2.7593,2.52,18.7585,6.2959,7.9391,15.4998
Normal,9.0042,5.0528,7.6135,10.0177,28.6339,6.8191,3.728,3.1939,8.8992,2.3171,3.8219,2.991
Normal,9.0417,4.9283,8.3432,9.9115,27.8851,6.8792,3.3269,3.2356,9.3054,12.3241,8.1884,14.4843
Normal,9.3896,4.6701,8.865,10.0003,26.2188,6.9532,3.239,3.4217,13.2104,2.391,16.3122,14.6136
Normal,9.7705,4.6701,8.6838,10.3592,22.8615,6.8387,3.9476,4.0783,8.8808,5.742,18.9801,10.5425
Normal,9.6341,4.8761,7.9138,10.5762,19.8711,5.6989,2.3998,3.4194,16.1737,1.8094,2.5848,5.4559
Normal,9.6652,4.8166,8.1317,10.3885,15.9088,4.3453,1.9536,3.335,15.0659,11.6964,2.1786,15.4906
Normal,10.0287,4.7397,9.5508,10.1495,10.4984,4.1661,3.5107,4.4875,8.2161,3.8311,12.1672,3.2126
Normal,10.1266,4.8724,10.2283,9.917,8.3313,3.8135,2.7905,3.6124,1.7725,5.899,20.0971,7.8099
Normal,10.3482,4.8981,9.9683,9.8099,9.2339,3.8043,2.468,3.0564,0.7755,10.5886,7.9299,2.751
Normal,10.4865,4.8102,9.3072,10.3574,10.1017,4.81,3.8528,4.5279,6.259,4.985,15.4536,7.1822
Normal,10.0223,4.9026,8.5529,10.9497,10.9448,5.1683,3.3581,4.3488,22.1004,8.2161,19.5248,1.754
Normal,10.0168,5.061,9.0097,10.7108,9.2983,5.6365,2.8448,3.5997,1.4863,17.9185,5.7051,6.1851
Normal,10.8746,5.0555,10.361,10.3683,4.7012,7.8814,4.1187,4.3904,9.5085,4.1727,21.2326,4.1911
Normal,11.4276,5.0583,10.6833,10.5414,3.8136,8.953,4.0054,4.6759,4.4496,2.0956,19.7925,3.5726
Normal,11.3626,5.2899,9.8721,10.7721,6.7196,8.3889,3.4332,4.8516,4.0065,0.3139,1.7909,0.6647
Normal,10.892,5.6396,9.2203,10.5377,8.1825,7.4895,4.5048,5.4261,6.1205,1.9294,0.6462,7.0068
Normal,10.3693,5.6268,9.6551,9.8099,8.2718,6.3948,5.0181,4.5996,1.274,10.8933,3.0095,13.2288
Normal,10.6842,5.3961,11.1951,9.1296,8.8272,5.7694,4.2031,2.8992,8.9823,2.151,6.6006,11.4195
Normal,11.2271,5.4776,11.7581,9.2853,10.5282,5.9787,5.1209,3.2124,13.515,4.0988,7.7453,3.7665
Normal,10.7895,5.6287,10.1798,9.7082,12.6904,5.7082,6.9474,3.7823,6.3052,0.8401,4.7543,1.3017
Normal,10.0507,5.6937,9.5242,9.2413,13.8012,4.7464,7.1774,2.8171,8.3084,2.9541,4.9574,3.7665
Normal,9.5755,6.0315,10.9991,8.3853,14.0045,3.9002,7.3462,2.4379,9.6008,9.6562,10.2286,1.874
Normal,9.3686,6.2146,11.5732,8.1766,13.0276,4.0655,8.0513,3.2725,4.5973,3.7296,2.5202,3.2126
Normal,9.873,6.1359,10.7877,8.6993,11.8176,4.9129,7.7519,3.8864,3.2957,3.148,16.6168,5.1974
Normal,10.2585,6.3721,10.3546,9.1479,12.497,5.9845,7.3473,4.3303,0.4339,6.1759,15.7029,1.1632
Normal,9.7394,6.5991,10.1706,8.8101,13.9797,5.9486,7.5184,4.4516,2.5664,1.2001,0.4154,2.8987
Normal,9.1571,6.4828,10.3033,8.2901,14.2029,5.2088,7.2433,4.1499,1.5324,7.7637,6.6006,4.0988
Normal,8.8412,6.2137,10.5872,8.2498,14.3269,4.9036,5.87,3.8598,2.114,0.48,12.0657,10.9117
Normal,8.6765,5.9244,10.2914,8.2947,13.3846,4.3118,4.6701,3.6055,14.5582,10.1178,11.1702,9.1762
Normal,8.9804,5.8713,10.209,8.2919,10.5579,3.498,5.0412,3.6563,2.3264,3.4618,19.4971,16.8107
Normal,9.1983,6.0077,10.4617,8.3432,7.8949,3.0934,6.6665,3.9823,0.9601,1.5786,26.9469,14.7059
Normal,8.9246,5.8868,10.4645,8.0859,4.9046,2.468,6.8399,3.7916,14.8721,0.2862,18.6385,3.6557
Normal,8.7872,5.8255,10.6329,7.8387,3.3127,1.2762,5.7394,3.3523,0.7939,9.9332,26.0515,7.256
Normal,8.7259,6.0123,10.8005,7.7536,4.7459,1.8391,6.9127,4.039,20.3833,7.6068,16.543,9.3977
Normal,8.7094,6.1734,11.228,7.2437,4.5723,2.7454,7.8698,3.691,18.9247,10.4132,8.0315,5.9451
Normal,8.9969,6.3226,12.3532,6.7044,3.0697,3.2425,6.6017,2.7905,9.8224,21.4265,28.2671,6.4436
Normal,9.0884,6.3803,12.2983,6.9479,5.1773,4.4343,6.6954,3.6413,12.6103,12.7765,37.7848,1.6617
Normal,8.9548,6.2704,11.0541,7.4258,7.6469,5.2261,6.9485,4.0679,2.9172,5.9267,17.5215,1.7448
Normal,8.9172,6.384,11.4569,7.2052,8.0486,5.9856,5.8307,3.2645,2.5848,14.5213,21.768,3.0187
Normal,8.6609,6.5964,12.9062,6.5048,9.7,6.8699,6.4873,3.0887,8.1515,6.5544,23.5959,21.6757
Normal,8.2452,6.4636,12.7066,6.21,11.153,6.0041,7.019,3.3881,6.8129,4.3481,2.8433,7.3022
Normal,8.2013,6.1807,11.5613,6.7126,11.4159,5.0169,5.2296,3.6112,6.5544,5.7328,23.0881,4.6066
Normal,7.9797,6.1258,11.4743,6.8829,12.4523,5.0342,5.9451,3.4136,12.638,0.2031,22.6358,21.0203
Normal,7.1768,6.4783,12.3706,5.9802,13.4789,3.5985,7.9265,1.7143,22.3496,11.8533,3.7757,24.5744
Normal,6.7877,6.8005,12.4841,5.5289,14.2128,1.5351,6.8919,0.5826,15.0475,8.4838,28.9133,13.5981
Normal,7.24,6.4783,10.9204,6.5652,14.674,1.5814,6.1578,2.6136,9.7947,0.8493,39.1141,14.2166
Normal,7.5833,6.1166,9.6551,7.6254,12.5813,2.3559,6.1474,4.1395,10.9579,9.5547,4.8558,8.0315
Normal,7.1448,6.633,10.3958,7.2922,10.3596,1.6738,5.7798,2.735,3.3511,4.8096,8.8438,8.1792
Normal,6.0388,7.3059,11.3113,6.2329,10.6274,0.1364,6.2792,1.8808,3.628,3.8403,28.8025,4.7266
Normal,5.0088,6.8848,10.2521,5.8676,10.9646,0.8774,4.8551,2.683,4.4958,7.256,19.9586,1.4124
Normal,5.3146,5.9024,9.1544,6.5067,11.4903,0.0405,2.6009,3.3893,8.7146,1.754,22.4881,1.0893
Normal,6.1688,5.7971,9.8932,7.1246,12.125,1.9848,3.9442,3.2934,3.6742,13.7181,19.6725,4.0065
Normal,5.4785,6.6321,10.6183,6.9223,9.943,1.8368,6.1035,2.9581,10.6532,7.7545,2.2617,5.899
